direction,bin,dataset_index,exposure_step,baseline_p0,baseline_p0_completion_length,prompt_token_count
A-bin/B-base,"(0,.25]",199,2556,0.0,2048.0,109
B-bin/A-base,0,199,2556,0.1875,1824.9375,109
A-bin/B-base,"(.25,.5]",200,3609,0.6875,1400.375,109
B-bin/A-base,"(.5,.75]",200,3609,0.375,1619.0625,109
A-bin/B-base,"(0,.25]",201,1506,0.0625,1857.8125,96
B-bin/A-base,"(0,.25]",201,1506,0.0625,1793.6875,96
A-bin/B-base,"(.75,1)",202,609,0.875,1148.6875,67
B-bin/A-base,"(.75,1)",202,609,0.875,925.1875,67
A-bin/B-base,"(.75,1)",203,1054,0.8125,967.875,69
B-bin/A-base,"(.75,1)",203,1054,0.8125,993.4375,69
A-bin/B-base,"(0,.25]",204,2260,0.375,1654.0,76
B-bin/A-base,"(.25,.5]",204,2260,0.25,1780.1875,76
A-bin/B-base,"(0,.25]",205,437,0.25,1774.4375,103
